PROBLEM_LIST_ID	PROB_LIST_SYSTEM_C_NAME
51548260	Genitourinary
51548255	Oncology
51548257	Allergy/Immunology/Lymphatic
51548263	Obstetric/Reproductive
51548266	Psychiatric
30681927	Integumentary
30681928	Muscular
51548261	Ophthalmologic
51548264	Fluids/Electrolytes/Nutrition
30681924	Digestive
30681931	Respiratory
51548265	Toxicology
51548253	Renal/Metabolic
51548258	Rheumatologic
30681923	Circulatory
30681925	Endocrine
30681932	Skeletal
51548256	Infectious Disease
51548254	Hematology
51548250	Neurologic
51548252	Gastrointestinal
30681929	Nervous
30681930	Reproductive
30681926	Immune
30681933	Urinary
51548262	Ear, Nose, Throat
51548251	Cardiovascular
51548259	Musculoskeletal
